GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,SOURCEURL
269168306,20130925,201309,2013,2013.726,IDNGOVHLH,INDONESIA,IDN,,,,,GOV,HLH,,HLH,DOCTOR,,,,,,HLH,,,1,42,42,4,1,1.9,16,3,16,1.808541027,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,20130925,http://www.bernama.com/bernama/v7/ge/newsgeneral.php?id=980644,2013
269500036,20130927,201309,2013,2013.7315,HLH,HOSPITAL,,,,,,HLH,,,HLHHLH,HOSPITAL,,,,,,HLH,HLH,,0,174,174,17,4,-5,2,1,2,4.350877193,4,"Borneo, Indonesia (general), Indonesia",ID,ID00,1,114,-2674017,4,"Borneo, Indonesia (general), Indonesia",ID,ID00,1,114,-2674017,4,"Borneo, Indonesia (general), Indonesia",ID,ID00,1,114,-2674017,20130927,http://www.express.co.uk/news/nature/432780/Mother-of-the-apes,2013
271230576,20131011,201310,2013,2013.7699,IDNHLH,INDONESIA,IDN,,,,,HLH,,,HLH,HOSPITAL,,,,,,HLH,,,1,73,73,7,2,7.4,2,1,2,2.120383037,4,"Lombok, Sulawesi Selatan, Indonesia",ID,ID38,-3.0837,120.056,10965809,4,"Lombok, Sulawesi Selatan, Indonesia",ID,ID38,-3.0837,120.056,10965809,4,"Lombok, Sulawesi Selatan, Indonesia",ID,ID38,-3.0837,120.056,10965809,20131011,http://www.ntnews.com.au/article/2013/10/11/325993_ntnews.html,2013
274257301,20131103,201311,2013,2013.8301,HLH,HOSPITAL,,,,,,HLH,,,IDNHLH,JAKARTA,IDN,,,,,HLH,,,0,32,32,3,1,4.5,10,1,10,1.758241758,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20131103,http://www.thejakartaglobe.com/business/lippo-to-join-rp-3t-project-in-kupang/,2013
274640352,20131106,201311,2013,2013.8384,HLH,DOCTOR,,,,,,HLH,,,COPHLH,POLICE,,,,,,COP,HLH,,1,20,20,2,1,3,10,1,10,0,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20131106,http://www.thejakartapost.com/news/2013/11/06/man-nabbed-alleged-baby-sexual-abuse.html,2013
275759184,20131114,201311,2013,2013.8603,GOVHLH,HEALTH MINIST,,,,,,GOV,HLH,,HLH,MIDWIFE,,,,,,HLH,,,0,42,42,4,1,1.9,10,1,10,4.138513514,4,"Pandeglang, Banten, Indonesia",ID,ID33,-6.3084,106.107,-2690686,4,"Pandeglang, Banten, Indonesia",ID,ID33,-6.3084,106.107,-2690686,4,"Pandeglang, Banten, Indonesia",ID,ID33,-6.3084,106.107,-2690686,20131114,http://www.thejakartapost.com/news/2013/11/15/women-s-lives-still-hands-untrained-birth-attendants.html,2013
275760878,20131114,201311,2013,2013.8603,HLH,MIDWIFE,,,,,,HLH,,,GOVHLH,HEALTH MINIST,,,,,,GOV,HLH,,0,43,43,4,1,2.8,10,1,10,4.138513514,4,"Pandeglang, Banten, Indonesia",ID,ID33,-6.3084,106.107,-2690686,4,"Pandeglang, Banten, Indonesia",ID,ID33,-6.3084,106.107,-2690686,4,"Pandeglang, Banten, Indonesia",ID,ID33,-6.3084,106.107,-2690686,20131114,http://www.thejakartapost.com/news/2013/11/15/women-s-lives-still-hands-untrained-birth-attendants.html,2013
276408544,20131119,201311,2013,2013.874,IDNGOVHLH,AGUNG LAKSONO,IDN,,,,,GOV,HLH,,GOVHLH,MINIST FOR SOCIAL WELFARE,,,,,,GOV,HLH,,0,841,84,8,2,7,4,1,4,4.047619048,4,"Tacloban, Tacloban, Philippines",RP,RPG1,11.2433,125.005,-2454996,4,"Tacloban, Tacloban, Philippines",RP,RPG1,11.2433,125.005,-2454996,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20131119,http://khabarsoutheastasia.com/en_GB/articles/apwi/articles/features/2013/11/20/feature-02,2013
276408545,20131119,201311,2013,2013.874,IDNGOVHLH,AGUNG LAKSONO,IDN,,,,,GOV,HLH,,GOVHLH,MINIST FOR SOCIAL WELFARE,,,,,,GOV,HLH,,0,841,84,8,2,7,1,1,1,4.047619048,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20131119,http://khabarsoutheastasia.com/en_GB/articles/apwi/articles/features/2013/11/20/feature-02,2013
277585420,20131127,201311,2013,2013.8959,HLH,HOSPITAL,,,,,,HLH,,,HLHHLH,DOCTOR,,,,,,HLH,HLH,,1,10,10,1,1,0,5,1,5,1.619433198,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20131127,http://www.beritajakarta.com/2008/en/newsview.aspx?idwil=0&id=30590,2013
